---------- BOTNET FLOWS DETECTED ----------

66.154.87.57:7871 -> 200.119.50.6:22698 (UDP)
66.154.83.107:7871 -> 83.144.85.133:19950 (UDP)
66.154.83.107:7871 -> 24.171.220.152:14974 (UDP)
66.154.87.39:7871 -> 70.51.177.87:22252 (UDP)
59.178.51.25:50371 -> 66.154.80.101:7871 (UDP)
87.20.125.31:17779 -> 66.154.80.111:7871 (UDP)
66.154.80.101:7871 -> 196.3.85.250:2078 (UDP)
58.178.118.127:7871 -> 66.154.80.111:7871 (UDP)
66.154.83.113:7871 -> 75.55.220.153:16891 (UDP)
66.154.83.138:7871 -> 91.76.138.194:19923 (UDP)
66.154.87.39:7871 -> 65.40.136.133:28261 (UDP)
83.11.45.1:24028 -> 66.154.87.57:7871 (UDP)
66.154.87.55:7871 -> 121.247.36.114:10900 (UDP)
217.78.191.5:16275 -> 66.154.80.111:7871 (UDP)
75.117.217.231:26129 -> 66.154.87.41:7871 (UDP)
85.81.51.244:3722 -> 66.154.87.58:7871 (UDP)
70.161.1.60:8755 -> 66.154.83.113:7871 (UDP)
213.22.233.25:54234 -> 66.154.83.138:7871 (UDP)
66.154.87.57:7871 -> 68.75.185.90:3570 (UDP)
81.106.93.59:18984 -> 66.154.87.41:7871 (UDP)
66.154.83.107:7871 -> 212.41.247.212:8561 (UDP)
74.32.183.165:61298 -> 66.154.87.57:7871 (UDP)
83.50.163.194:16726 -> 66.154.80.101:7871 (UDP)
67.8.97.244:21210 -> 66.154.87.58:7871 (UDP)
66.154.83.113:7871 -> 216.170.250.229:43801 (UDP)
66.154.83.107:7871 -> 190.137.43.66:33502 (UDP)
82.239.229.237:1044 -> 66.154.87.58:7871 (UDP)
66.154.87.39:7871 -> 209.240.118.230:19027 (UDP)
217.229.4.91:20340 -> 66.154.80.101:7871 (UDP)
72.169.125.15:11876 -> 66.154.80.101:7871 (UDP)
81.23.148.220:2836 -> 66.154.87.58:7871 (UDP)
76.19.62.50:8 -> 66.154.80.99:63008 (TCP)
80.38.214.97:19492 -> 66.154.80.105:7871 (UDP)
66.154.87.41:7871 -> 83.4.112.133:14974 (UDP)
66.154.80.101:7871 -> 77.98.114.179:12844 (UDP)
66.154.83.142:63389 -> 216.174.161.17:8 (TCP)
66.154.80.111:7871 -> 65.3.136.220:9600 (UDP)
66.154.87.57:7871 -> 74.195.13.148:10080 (UDP)
69.108.148.217:1618 -> 66.154.87.41:7871 (UDP)
89.245.39.3:23513 -> 66.154.80.101:7871 (UDP)
66.154.83.113:7871 -> 98.200.201.223:5024 (UDP)
66.154.80.111:7871 -> 89.207.216.211:1756 (UDP)
75.2.43.183:1284 -> 66.154.80.101:7871 (UDP)
151.37.244.35:10847 -> 66.154.80.105:7871 (UDP)
65.111.166.253:17296 -> 66.154.83.107:7871 (UDP)
90.163.226.85:8889 -> 66.154.87.41:7871 (UDP)
66.154.83.107:7871 -> 85.85.101.118:7814 (UDP)
68.2.80.204:18984 -> 66.154.83.80:7871 (UDP)
66.154.83.138:7871 -> 122.50.186.35:11706 (UDP)
193.34.144.47:19273 -> 66.154.83.80:7871 (UDP)
82.137.232.243:20597 -> 66.154.87.58:7871 (UDP)
68.198.41.207:8 -> 66.154.83.134:63019 (TCP)
85.136.200.158:4507 -> 66.154.87.41:7871 (UDP)
10.16.21.111:24006 -> 66.154.83.113:7871 (UDP)
66.154.83.138:7871 -> 72.231.164.180:29149 (UDP)
66.154.80.101:7871 -> 75.16.75.230:30744 (UDP)
91.122.98.124:16275 -> 66.154.80.105:7871 (UDP)
87.119.231.14:2146 -> 66.154.83.107:7871 (UDP)
70.100.125.198:38914 -> 66.154.80.105:7871 (UDP)
66.154.83.80:7871 -> 74.138.179.198:25246 (UDP)
66.154.87.41:7871 -> 83.83.148.67:7937 (UDP)
66.154.87.39:7871 -> 72.213.174.74:33561 (UDP)
66.154.83.107:7871 -> 67.87.76.73:27467 (UDP)
66.154.87.41:7871 -> 76.216.65.252:25932 (UDP)
84.132.76.229:16350 -> 66.154.80.111:7871 (UDP)
216.194.116.252:7978 -> 66.154.87.61:7871 (UDP)
203.128.10.197:9939 -> 66.154.87.39:7871 (UDP)
121.247.11.147:50566 -> 66.154.80.111:7871 (UDP)
66.154.87.61:7871 -> 69.47.149.164:22402 (UDP)
201.239.180.76:12851 -> 66.154.80.111:7871 (UDP)
24.47.233.28:11275 -> 66.154.87.57:7871 (UDP)
66.154.80.101:7871 -> 88.24.218.73:10344 (UDP)
66.154.87.57:7871 -> 75.186.25.102:8597 (UDP)
66.154.83.107:7871 -> 82.42.157.135:20202 (UDP)
59.93.203.17:22338 -> 66.154.87.57:7871 (UDP)
10.0.2.15:1407 -> 173.194.65.147:80 (TCP)
66.154.87.58:7871 -> 213.140.17.133:13650 (UDP)
124.121.95.253:2575 -> 66.154.87.58:7871 (UDP)
61.2.72.138:7871 -> 66.154.87.39:7871 (UDP)
80.218.38.167:5672 -> 66.154.80.125:7871 (UDP)
66.154.83.113:7871 -> 222.97.128.111:11258 (UDP)
66.154.80.105:7871 -> 85.110.133.174:22407 (UDP)
91.89.46.167:13903 -> 66.154.80.111:7871 (UDP)
82.174.29.166:65407 -> 66.154.83.107:7871 (UDP)
66.154.87.41:7871 -> 83.38.20.241:48521 (UDP)
87.15.53.249:2613 -> 66.154.87.39:7871 (UDP)
66.154.87.39:7871 -> 140.77.128.154:4054 (UDP)
66.154.83.107:7871 -> 81.149.192.182:16384 (UDP)
174.140.165.215:80 -> 10.0.2.15:4579 (TCP)
85.220.58.88:63650 -> 66.154.87.57:7871 (UDP)
66.154.80.101:7871 -> 201.194.54.34:50355 (UDP)
66.154.83.80:7871 -> 82.95.51.231:5685 (UDP)
68.11.213.40:22857 -> 66.154.80.101:7871 (UDP)
66.154.80.111:7871 -> 91.127.37.243:16775 (UDP)
66.154.87.39:7871 -> 91.17.91.104:20425 (UDP)
69.223.76.217:1181 -> 66.154.87.41:7871 (UDP)
66.154.83.148:63870 -> 24.206.248.179:8 (TCP)
98.199.199.105:19306 -> 66.154.83.138:7871 (UDP)
90.45.189.123:14780 -> 66.154.83.107:7871 (UDP)
66.154.87.41:7871 -> 68.14.113.114:7777 (UDP)
99.244.67.210:24731 -> 66.154.80.125:7871 (UDP)
66.154.83.113:7871 -> 81.9.176.200:4062 (UDP)
68.12.107.175:10342 -> 66.154.87.39:7871 (UDP)
66.154.87.39:7871 -> 80.203.246.89:60279 (UDP)
190.95.24.111:16475 -> 66.154.87.39:7871 (UDP)
66.154.87.41:7871 -> 190.172.252.58:24684 (UDP)
24.6.237.117:11118 -> 66.154.87.41:7871 (UDP)
216.80.127.78:6233 -> 66.154.80.105:7871 (UDP)
66.154.83.80:7871 -> 68.40.188.154:19722 (UDP)
66.154.87.41:7871 -> 58.126.165.7:7314 (UDP)
66.15.91.54:52463 -> 66.154.83.113:7871 (UDP)
66.154.87.39:7871 -> 84.41.132.170:10002 (UDP)
69.111.167.20:32112 -> 66.154.80.111:7871 (UDP)
80.235.45.140:59237 -> 66.154.83.107:7871 (UDP)
87.234.134.84:8828 -> 66.154.83.138:7871 (UDP)
67.177.114.151:8 -> 66.154.83.153:63212 (TCP)
66.154.83.113:7871 -> 124.191.73.3:10554 (UDP)
82.207.17.172:54126 -> 66.154.80.111:7871 (UDP)
66.154.80.105:7871 -> 123.201.67.207:11191 (UDP)
66.154.80.101:7871 -> 74.33.201.166:60538 (UDP)
66.154.83.113:7871 -> 124.125.38.144:8425 (UDP)
66.154.83.134:63272 -> 68.118.224.56:8 (TCP)
66.154.83.113:7871 -> 61.27.122.35:17222 (UDP)
75.130.19.148:21765 -> 66.154.87.39:7871 (UDP)
207.152.181.170:48223 -> 66.154.87.39:7871 (UDP)
66.154.83.80:7871 -> 200.115.166.82:21467 (UDP)
202.149.211.97:25815 -> 66.154.80.111:7871 (UDP)
66.154.83.80:7871 -> 84.185.26.62:13821 (UDP)
66.154.80.105:7871 -> 82.235.233.69:10254 (UDP)
213.196.42.104:21628 -> 66.154.83.113:7871 (UDP)
74.234.132.71:50378 -> 66.154.80.111:7871 (UDP)
195.208.220.234:8751 -> 66.154.87.58:7871 (UDP)
66.154.83.80:7871 -> 200.120.230.32:11572 (UDP)
10.0.2.15:2228 -> 173.213.76.19:80 (TCP)
66.154.87.41:7871 -> 201.38.140.187:10003 (UDP)
66.154.83.113:7871 -> 87.123.254.35:6403 (UDP)
66.154.83.107:7871 -> 201.170.190.86:22385 (UDP)
66.154.87.57:7871 -> 64.40.53.18:2699 (UDP)
76.103.145.161:20202 -> 66.154.87.41:7871 (UDP)
66.154.83.107:7871 -> 75.33.239.6:22415 (UDP)
85.214.63.176:6969 -> 66.154.87.58:7871 (UDP)
66.154.80.101:7871 -> 85.1.108.169:49568 (UDP)
189.181.107.231:25769 -> 66.154.80.105:7871 (UDP)
80.59.211.93:19787 -> 66.154.80.111:7871 (UDP)
148.221.228.38:6122 -> 66.154.80.111:7871 (UDP)
84.57.11.207:11274 -> 66.154.80.111:7871 (UDP)
69.61.28.84:63358 -> 65.30.81.171:8 (TCP)
85.72.177.43:10000 -> 66.154.87.39:7871 (UDP)
66.154.80.101:7871 -> 83.15.40.82:3885 (UDP)
66.154.83.113:7871 -> 172.215.54.19:51550 (UDP)
189.155.146.246:10209 -> 66.154.87.61:7871 (UDP)
132.239.1.121:52371 -> 66.154.83.126:7871 (UDP)
66.154.87.41:7871 -> 88.241.51.173:16170 (UDP)
83.142.123.50:18865 -> 66.154.87.61:7871 (UDP)
84.56.32.9:4115 -> 66.154.80.101:7871 (UDP)
66.154.80.111:7871 -> 190.43.190.138:23144 (UDP)
125.40.216.141:24461 -> 66.154.83.107:7871 (UDP)
66.154.83.138:7871 -> 75.35.154.198:61132 (UDP)
84.77.246.30:5580 -> 66.154.80.101:7871 (UDP)
70.160.97.179:28758 -> 66.154.83.138:7871 (UDP)
66.154.83.139:63853 -> 68.198.41.207:8 (TCP)
79.120.36.162:22252 -> 66.154.87.39:7871 (UDP)
66.154.87.41:7871 -> 86.72.63.21:55255 (UDP)
121.229.0.145:4574 -> 66.154.80.111:7871 (UDP)
172.212.183.172:6452 -> 66.154.87.39:7871 (UDP)
87.59.144.69:5057 -> 66.154.87.39:7871 (UDP)
66.154.83.144:63323 -> 72.129.129.157:8 (TCP)
66.154.83.152:63153 -> 216.174.161.17:8 (TCP)
66.154.83.80:7871 -> 88.232.195.116:5084 (UDP)
66.154.83.80:7871 -> 96.228.26.237:12508 (UDP)
66.154.83.107:7871 -> 190.166.30.2:53348 (UDP)
66.154.83.80:7871 -> 69.122.55.68:16275 (UDP)
66.154.87.41:7871 -> 217.219.224.150:1733 (UDP)
87.15.43.213:20592 -> 66.154.83.80:7871 (UDP)
66.154.80.111:7871 -> 24.143.21.243:29067 (UDP)
221.134.236.218:32687 -> 66.154.83.80:7871 (UDP)
59.93.55.214:7871 -> 66.154.83.107:7871 (UDP)
66.154.87.57:7871 -> 72.160.35.221:2918 (UDP)
117.47.105.159:5380 -> 66.154.87.61:7871 (UDP)
74.46.240.61:61702 -> 66.154.83.126:7871 (UDP)
66.154.87.39:7871 -> 201.240.64.77:11419 (UDP)
201.230.252.71:16369 -> 66.154.83.138:7871 (UDP)
66.154.80.111:7871 -> 202.149.211.97:21840 (UDP)
66.154.80.105:7871 -> 201.240.207.65:25924 (UDP)
66.154.83.113:7871 -> 69.64.34.91:11489 (UDP)
201.250.58.23:24311 -> 66.154.83.138:7871 (UDP)
80.55.149.234:15204 -> 66.154.80.101:7871 (UDP)
82.52.254.22:5954 -> 66.154.87.61:7871 (UDP)
66.154.83.138:7871 -> 217.235.114.135:13352 (UDP)
65.185.22.44:26160 -> 66.154.83.80:7871 (UDP)
68.225.75.155:11363 -> 66.154.83.113:7871 (UDP)
193.77.238.121:14409 -> 66.154.87.58:7871 (UDP)
24.251.228.85:12165 -> 66.154.80.105:7871 (UDP)
190.18.115.237:20189 -> 66.154.83.138:7871 (UDP)
75.16.75.230:30744 -> 66.154.80.111:7871 (UDP)
66.154.80.111:7871 -> 58.69.182.7:19190 (UDP)
66.154.83.113:7871 -> 86.219.222.12:28587 (UDP)
66.154.83.80:7871 -> 151.213.81.87:60001 (UDP)
66.154.87.39:7871 -> 85.181.51.138:32387 (UDP)
66.154.87.39:7871 -> 69.76.154.71:19190 (UDP)
79.182.150.118:16275 -> 66.154.87.57:7871 (UDP)
62.143.101.246:3561 -> 66.154.80.105:7871 (UDP)
66.154.87.57:7871 -> 67.188.28.252:20228 (UDP)
66.154.83.157:63818 -> 65.189.204.247:8 (TCP)
220.225.40.40:44033 -> 66.154.87.57:7871 (UDP)
66.154.80.125:7871 -> 58.10.234.18:20090 (UDP)
71.248.126.154:39187 -> 66.154.83.113:7871 (UDP)
24.11.153.142:20837 -> 69.61.28.74:7871 (UDP)
89.138.152.183:28454 -> 66.154.83.138:7871 (UDP)
81.152.93.40:54878 -> 66.154.83.113:7871 (UDP)
70.237.215.186:32940 -> 66.154.80.101:7871 (UDP)
66.154.83.113:7871 -> 201.230.174.209:25786 (UDP)
66.154.87.41:7871 -> 71.166.113.166:15012 (UDP)
66.154.87.57:7871 -> 70.165.19.80:16501 (UDP)
66.154.83.80:7871 -> 24.17.139.238:29719 (UDP)
66.154.83.80:7871 -> 59.93.72.36:10120 (UDP)
70.236.239.45:11191 -> 66.154.83.113:7871 (UDP)
86.136.102.119:52153 -> 66.154.87.61:7871 (UDP)
10.0.2.15:1895 -> 173.213.112.209:80 (TCP)
217.54.186.10:3724 -> 66.154.83.80:7871 (UDP)
80.221.4.55:14087 -> 66.154.87.58:7871 (UDP)
66.154.83.80:7871 -> 82.235.214.56:11419 (UDP)
66.154.83.138:7871 -> 212.202.234.65:14359 (UDP)
213.24.3.1:16321 -> 66.154.80.101:7871 (UDP)
66.154.87.39:7871 -> 86.110.176.37:29616 (UDP)
61.94.95.76:1025 -> 66.154.80.101:7871 (UDP)
66.154.80.101:7871 -> 70.135.172.70:18941 (UDP)
91.9.208.84:32951 -> 66.154.87.39:7871 (UDP)
66.154.83.147:63267 -> 24.206.248.179:8 (TCP)
80.38.109.157:15806 -> 66.154.80.125:7871 (UDP)
24.217.137.235:8 -> 66.154.83.148:63335 (TCP)
85.172.166.186:14575 -> 66.154.83.80:7871 (UDP)
217.166.68.126:13237 -> 66.154.80.105:7871 (UDP)
66.154.80.105:7871 -> 89.247.89.39:19122 (UDP)
71.74.247.7:30684 -> 66.154.87.58:7871 (UDP)
69.233.0.181:29149 -> 66.154.80.101:7871 (UDP)
198.144.140.137:24504 -> 66.154.87.57:7871 (UDP)
66.154.83.107:7871 -> 220.134.130.195:3315 (UDP)
85.214.79.251:19164 -> 66.154.80.111:7871 (UDP)
66.154.87.57:7871 -> 124.82.2.13:31769 (UDP)
24.97.4.148:2553 -> 66.154.80.111:7871 (UDP)
58.9.231.132:1301 -> 66.154.83.107:7871 (UDP)
76.30.50.27:29603 -> 66.154.80.105:7871 (UDP)
66.154.87.41:7871 -> 88.73.20.204:12786 (UDP)
68.5.67.172:59386 -> 66.154.83.107:7871 (UDP)
66.154.87.58:7871 -> 82.226.27.202:13009 (UDP)
72.13.212.180:30941 -> 66.154.83.113:7871 (UDP)
81.9.201.28:8742 -> 66.154.87.58:7871 (UDP)
66.154.83.107:7871 -> 219.179.137.126:26417 (UDP)
71.110.24.74:50757 -> 66.154.83.107:7871 (UDP)
64.13.113.82:8 -> 66.154.83.137:63321 (TCP)
24.239.74.97:32845 -> 66.154.87.41:7871 (UDP)
121.227.58.107:4500 -> 66.154.87.57:7871 (UDP)
196.209.41.235:62904 -> 66.154.83.80:7871 (UDP)
66.154.80.111:7871 -> 207.224.105.129:61089 (UDP)
75.17.223.5:18169 -> 66.154.87.61:7871 (UDP)
64.207.40.234:10475 -> 66.154.87.39:7871 (UDP)
24.171.96.6:1044 -> 66.154.87.39:7871 (UDP)
66.154.83.107:7871 -> 41.232.177.198:33442 (UDP)
66.154.87.41:7871 -> 84.59.55.46:12255 (UDP)
61.11.124.193:18148 -> 66.154.83.107:7871 (UDP)
66.154.83.113:7871 -> 125.27.135.221:5757 (UDP)
66.154.87.41:7871 -> 84.174.108.119:12035 (UDP)
10.0.2.15:2026 -> 174.140.168.169:80 (TCP)
66.154.87.41:7871 -> 77.128.122.226:34879 (UDP)
76.173.154.176:16119 -> 66.154.83.107:7871 (UDP)
84.103.125.28:55164 -> 66.154.83.107:7871 (UDP)
66.154.87.57:7871 -> 190.43.166.95:10187 (UDP)
58.107.234.176:62369 -> 66.154.87.41:7871 (UDP)
66.154.87.57:7871 -> 68.114.25.127:51601 (UDP)
218.234.38.71:6000 -> 66.154.83.100:8000 (TCP)
66.154.87.41:7871 -> 220.141.114.236:14367 (UDP)
66.154.80.111:7871 -> 76.15.36.189:20099 (UDP)
84.122.0.151:64499 -> 66.154.83.107:7871 (UDP)
66.154.80.105:7871 -> 86.107.59.4:18002 (UDP)
66.154.80.125:7871 -> 87.99.25.239:20001 (UDP)
66.154.87.41:7871 -> 79.17.143.238:11271 (UDP)
66.154.80.101:7871 -> 212.39.96.50:39454 (UDP)
66.154.83.138:7871 -> 212.12.0.110:14639 (UDP)
66.154.80.125:7871 -> 72.241.144.24:16445 (UDP)
66.154.80.105:7871 -> 76.84.235.54:16968 (UDP)
75.62.238.160:2519 -> 66.154.80.105:7871 (UDP)
66.154.87.57:7871 -> 208.251.149.27:17453 (UDP)
75.186.25.102:2957 -> 66.154.87.57:7871 (UDP)
66.154.87.39:7871 -> 87.181.72.156:7977 (UDP)
4.252.44.254:18714 -> 66.154.87.57:7871 (UDP)
66.154.80.101:7871 -> 76.4.182.109:10875 (UDP)
70.22.83.3:7871 -> 66.154.87.41:7871 (UDP)
